CLSS ID,CRN,Term,Term Code,Department Code,Subject Code,Catalog Number,Course,Section,Course Title,Long Title,Schedule Type,Title,Meeting Pattern,Meetings,Instructor,Building and Room,Status,Part of Term,Session,Campus,Instructional Method,Visible,Special Approval,Credit Hrs Min,Credit Hours,Grade Mode,URL,Attributes,Course Attributes,Enrollment,Maximum Enrollment,Prior Enrollment,Waitlist Maximum,Wait Total,Cross-listings,Cross-list Enrollment,Cross-list Maximum,Cross-list Wait Total,Comments (details for ASO and/or justifications for Dean/FM approvals),Section Text (visible in student views)#1,Section Text (visible in student views)#2,Final Exam,"Restrictions
Student Attribute 
Include/Exclude","Restrictions
Student Attribute","Restrictions
Classification 
Include/Exclude","Restrictions
Classification","Restrictions
Degree 
Include/Exclude","Restrictions
Degree","Restrictions
Department 
Include/Exclude","Restrictions
Department","Restrictions
Level 
Include/Exclude","Restrictions
Level","Restrictions
Field of Study - All 
Include/Exclude","Restrictions
Field of Study - All","Restrictions
Field of Study - Concentration 
Include/Exclude","Restrictions
Field of Study - Concentration","Restrictions
Field of Study - Major 
Include/Exclude","Restrictions
Field of Study - Major","Restrictions
Field of Study - Minor 
Include/Exclude","Restrictions
Field of Study - Minor","Restrictions
Program 
Include/Exclude","Restrictions
Program"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3293,30084,2024 Spring,202420,DGM,DAGV,1200,DAGV 1200,002 (30084),3D Modeling Essentials,,Livestream (LS),,MW 4:30pm-5:45pm,MW 4:30pm-5:45pm [Livestream (Class)],"Powell, Preston (10018858) [Primary, 100%]",LIVE STREAM,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Afternoon,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Lab access fee of $45 applies,Lab access fee of $45 applies,0,28,25,28,0,,,,,,,"Lecture is held live on specific days and times, but may include an online component.  Students participate from home using their own computer or device, and interact with the instructor and classmates on camera.",(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7633,38065,2024 Spring,202420,DGM,DAGV,1200,DAGV 1200,151 (38065),3D Modeling Essentials,,Face to Face (F),,TR 8:30am-9:45am,TR 8:30am-9:45am [Face to Face (Class)],"Staff [Primary, 100%]",TG 114,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/maps/,Lab access fee of $45 applies,Lab access fee of $45 applies,0,26,0,25,0,Also DAGV 1200-V19 (38067),0,51,,please schedule in TG 114 if available.  Elizabeth will schedule the V section on the orem campus,,"This section is held at Thanksgiving Point, 2912 Executive Parkway, Lehi
",N--Classroom/Lab is NOT needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
7631,38067,2024 Spring,202420,DGM,DAGV,1200,DAGV 1200,V19 (38067),3D Modeling Essentials,,Live Interactive (V),,TR 8:30am-9:45am,TR 8:30am-9:45am [Face to Face (Class)],"Staff [Primary, 100%]",BA 204,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/maps/,Lab access fee of $45 applies,Lab access fee of $45 applies,0,25,0,25,0,See DAGV 1200-151 (38065),0,51,,Bldg/Room: BA 204; Xlist with DAGV 1200 151 (new),,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
6305,36521,2024 Spring,202420,DGM,DAGV,1200,DAGV 1200,X01 (36521),3D Modeling Essentials,,Online (W),,Does Not Meet,Does Not Meet [Online (Class)],"Staff [Primary, 100%]",Choose an Option,Cancelled,Full Term (1) - 1 (1/8/24 to 5/1/24),Not Applicable,M,Regular Class without Lab (LEC),No,(None Assigned),3,3,Standard Letter,https://www.uvu.edu/otl/students/index.html,Lab access fee of $45 applies,Lab access fee of $45 applies,0,0,26,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1505,22812,2024 Spring,202420,DGM,DAGV,1300,DAGV 1300,001 (22812),Animation Essentials,,Face to Face (F),,MW 9am-9:50am,MW 9am-9:50am [Face to Face (Class)],"Le Prey, Chancelor (10891271) [Primary, 100%]",CS 502,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,25,11,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
1506,22813,2024 Spring,202420,DGM,DAGV,1300,DAGV 1300,002 (22813),Animation Essentials,,Face to Face (F),,MW 11am-11:50am,MW 11am-11:50am [Face to Face (Class)],"Le Prey, Chancelor (10891271) [Primary, 100%]",CS 502,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,10,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
2887,28948,2024 Spring,202420,DGM,DAGV,1300,DAGV 1300,003 (28948),Animation Essentials,,Face to Face (F),,TR 10am-10:50am,TR 10am-10:50am [Face to Face (Class)],"Coppieters, Michael (10089060) [Primary, 100%]",CS 502,Active,Full Term (1) - 1 (1/8/24 to 5/1/24),Morning,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,,Software fee of $15 applies; Lab access fee of $45 applies,Software fee of $15 applies; Lab access fee of $45 applies,0,28,16,25,0,,,,,,,,Y--Classroom/Lab is needed,,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,,
3825,31570,2024 Spring,202420,DGM,DAGV,1300,DAGV 1300,J99 (31570),Animation Essentials,,Face to Face (F),,Does Not Meet,Does Not Meet [Face to Face (Class)],"Powell, Preston (10018858) [Primary, 100%]",HSADV TBA,Active,HS Semester (HSS) - HSS (1/2/24 to 6/7/24),Not Applicable,M,Regular Class without Lab (LEC),Yes,(None Assigned),2,2,Standard Letter,https://www.uvu.edu/concurrent,,Software fee of $15 applies; Lab access fee of $45 applies,0,100,30,0,0,,,,,,,,(No Option Selected),,,,,,,,,Include (E),Continuing Education (CE) ,,,,,,,,,Include (I),High School Concurrent Enroll (HSCE) 
